group,variable,r2_mean,r2_std,indices
ACS,heating_fuel_utility_gas_pct,0.5951973149856944,0.10093395685979813,ADI
ACS,renter_occupied_pct,0.4376909787152726,0.08000469587866271,SDI
ACS,multi_unit_housing_pct,0.43563319713507365,0.06275195576276274,SVI
ACS,owner_occupied_pct,0.43518791480663294,0.08103213302192704,ADI
ACS,structures_20plus_units_pct,0.4118582604670129,0.08388291877991384,SVI
ACS,nh_white_pct,0.3865602008647143,0.07109621724780835,SVI
ACS,minority_pct,0.386273500388552,0.07072107708982099,SVI
ACS,mobile_homes_pct,0.3836714327893077,0.08902760040072094,SVI
ACS,no_vehicle_pct,0.34036801373838677,0.2383087680395097,"ADI, SDI, SVI"
PLACES,CANCER,0.3401935137195977,0.10622557806948615,""
PLACES,FOODINSECU,0.33221695533096807,0.05778445418915505,""
ACS,no_vehicle_b25044_pct,0.3313659372999532,0.24534305837904646,ADI
ACS,renter_occupied_no_vehicle_pct,0.33115946439124877,0.21366697113483085,ADI
PLACES,HOUSINSECU,0.3219446101289284,0.06360060535501424,""
PLACES,LACKTRPT,0.3200667628441035,0.05070737784281257,""
PLACES,OBESITY,0.31083669095962163,0.06256352535823345,""
PLACES,CHECKUP,0.3040559598013992,0.1480331483249395,""
ACS,median_owner_cost_mortgage,0.29920607882882055,0.17467996184881682,ADI
ACS,median_home_value,0.2929516247102337,0.12899235867396547,ADI
PLACES,ARTHRITIS,0.28917917958134154,0.05831657336159578,""
PLACES,SHUTUTILITY,0.285781360471509,0.12430874643580161,""
ACS,housing_cost_burdened_pct,0.2741136012238465,0.05374941361535295,SVI
PLACES,BPHIGH,0.26626207578090544,0.1642859025573842,""
PLACES,EMOTIONSPT,0.26461961787255434,0.13185329971298265,""
PLACES,FOODSTAMP,0.2594393076276883,0.07061822131135215,""
ACS,median_gross_rent,0.2565756016452462,0.10927880687439269,ADI
PLACES,SLEEP,0.2546965941121269,0.06645902706126927,""
PLACES,COLON_SCREEN,0.2535484930298303,0.06070449773008646,""
PLACES,DENTAL,0.24845643910885337,0.04600147326484506,""
PLACES,CHOLSCREEN,0.2463310457866097,0.02986573249154927,""
PLACES,CSMOKING,0.24179166073953398,0.09591359624828097,""
ACS,hh_income_ge200k_pct,0.2398312634989152,0.1048520600589338,ADI
PLACES,VISION,0.23910546535673083,0.03213492127793039,""
PLACES,COPD,0.237932752235829,0.09024850141839395,""
PLACES,GHLTH,0.22909034414240742,0.02799228681360255,""
PLACES,BPMED,0.22820411603859841,0.054693585987693284,""
ACS,educ_hs_diploma_pct,0.22639234238299535,0.05568491679684497,ADI
PLACES,DISABILITY,0.2242558675553406,0.10010556996952366,""
ACS,educ_bachelors_pct,0.223744877740504,0.08407085805060022,ADI
PLACES,ACCESS2,0.22370011866412823,0.0762113468117326,""
PLACES,PHLTH,0.21932915241557702,0.03893321278274924,""
ACS,median_family_income,0.2180365390868734,0.10779398834780415,ADI
PLACES,DIABETES,0.2174061032579191,0.035449049005393536,""
ACS,educ_masters_pct,0.2121703257837435,0.08938171895696304,ADI
PLACES,HIGHCHOL,0.21067518266206453,0.022165897682914316,""
PLACES,COGNITION,0.20859867311733038,0.0940280557154568,""
PLACES,MHLTH,0.20586710080929685,0.0636757989238703,""
PLACES,MOBILITY,0.20502427376418178,0.08044613687389596,""
PLACES,INDEPLIVE,0.202653591451379,0.06823712626071826,""
PLACES,LPA,0.20200246869877483,0.07218509512990517,""
PLACES,LONELINESS,0.19674934587983084,0.19155439223545528,""
PLACES,CHD,0.1941734283268905,0.07696886522710947,""
PLACES,TEETHLOST,0.1937218259541292,0.1063701958930044,""
PLACES,HEARING,0.19051136226060117,0.1430983306833299,""
PLACES,SELFCARE,0.1877049100101328,0.05481599915850149,""
ACS,no_hs_diploma_pct,0.18462702913644777,0.04073475010998181,SVI
ACS,structures_10_19_units_pct,0.1836676609543489,0.020727446545878377,SVI
ACS,educ_hs_or_higher_pct,0.18305131905816835,0.04077103302199133,ADI
ACS,educ_lt12th_grade_pct,0.18303511495946362,0.04076411142796643,SDI
ACS,lep_total_pct,0.17127941609135605,0.09259784992435073,SVI
PLACES,STROKE,0.16806981757215628,0.09909732373923773,""
ACS,pct_no_telephone,0.15286430375020726,0.05745005438079274,ADI
ACS,educ_lt9th_grade_pct,0.14221940743657974,0.0787457309090989,ADI
ACS,pov_total_pct,0.14025761080854793,0.09374332636810834,ADI
ACS,uninsured_pct,0.13992986354794984,0.03333609457726914,SVI
ACS,pov_below_related_children_pct,0.1312674290980671,0.11827632166547507,ADI
ACS,cost_burdened_rent_35_39_pct,0.12522102700881346,0.011798486595088491,SVI
ACS,pov_below_other_pct,0.12345035090518,0.05849596398571292,ADI
ACS,occ_female_mgmt_business_science_arts_pct,0.11654335233385645,0.035432664377120615,ADI
PLACES,MAMMOUSE,0.11607805519538802,0.0771604566631571,""
ACS,cost_burdened_rent_30_34_pct,0.11060916489258762,0.1276118721735989,SVI
ACS,pct_below_150pct_poverty,0.1063368044369644,0.022052146530625483,SVI
ACS,single_parent_female_hh_pct,0.10302089248949724,0.03469270510798895,"SDI, SVI"
ACS,single_parent_pct,0.10029734700440929,0.02504061700587463,"SDI, SVI"
ACS,crowded_housing_pct,0.10019030930049326,0.06140890347242831,"SDI, SVI"
ACS,educ_some_college_lt1yr_pct,0.10000401583156085,0.03790232225829578,ADI
ACS,age_65plus_pct,0.09529506365692286,0.0952827545295301,SVI
ACS,pct_below_100pct_poverty,0.09445972837153846,0.018014971795436735,SDI
ACS,white_collar_pct,0.09300568086798536,0.015917577917224725,ADI
ACS,overcrowded_renter_pct,0.08902009751142628,0.06369848541173004,"SDI, SVI"
ACS,educ_some_college_ge1yr_pct,0.0863011061108386,0.0648840602596739,ADI
ACS,lep_asian_pac_native_not_well_pct,0.0845826480589136,0.0696006450913656,SVI
ACS,educ_grade6_pct,0.08443069197267543,0.05760808571199094,"ADI, SDI"
ACS,cost_burdened_rent_40_49_pct,0.08329624945470823,0.011901537676289898,SVI
ACS,disability_pct,0.08197623770093251,0.13220686767696876,SVI
ACS,educ_associates_pct,0.0799865413662995,0.05948428989863163,ADI
ACS,lep_asian_pac_native_not_at_all_pct,0.0759886999451572,0.05364111554953625,SVI
ACS,educ_ged_pct,0.0749450368129021,0.090000006748991,ADI
ACS,occ_female_business_financial_pct,0.07153703916404142,0.04147693957566922,ADI
ACS,per_capita_income,0.06499026739107305,0.3536085774494379,ADI
ACS,incomplete_plumbing_pct,0.05559900197520924,0.23535528670550612,ADI
ACS,educ_no_schooling_pct,0.05478159600781916,0.024766916609580525,"ADI, SDI"
ACS,educ_grade9_pct,0.05318657542945204,0.05205979610882819,SDI
ACS,overcrowded_owner_pct,0.05182734499813748,0.06300237830775404,"SDI, SVI"
ACS,occ_female_healthcare_practitioners_pct,0.05012213129531555,0.06036121874901594,ADI
ACS,cost_burdened_rent_50plus_pct,0.04921817127071628,0.10098407479034183,SVI
PLACES,DEPRESSION,0.04444726733168571,0.15337964689740838,""
PLACES,CASTHMA,0.04234237714015103,0.2101355635112819,""
ACS,occ_female_service_pct,0.041298873398841265,0.026588795163892356,ADI
ACS,crowded_b25014_pct,0.03939376819924132,0.0224724784161845,ADI
ACS,educ_grade10_pct,0.038302487898880244,0.05531113629158634,SDI
ACS,educ_grade11_pct,0.033521664381028236,0.07332370002441332,SDI
ACS,age_lte17_pct,0.03198003903067812,0.06675499777195448,SVI
ACS,occ_female_education_legal_arts_pct,0.025347608350268946,0.04979996716810787,ADI
ACS,overcrowded_owner_1_to_1_5_per_room_pct,0.0181530275522084,0.012963567945999786,ADI
ACS,occ_male_mgmt_business_science_arts_pct,0.016112810287830757,0.035445066051659514,ADI
ACS,unemployment_pct,0.016004326582633822,0.08745603414383896,"ADI, SVI"
ACS,not_in_labor_force_pct,0.016004326582633822,0.08745603414383896,SDI
ACS,educ_grade12_no_diploma_pct,0.015514903263347124,0.024365414794588276,SDI
ACS,hh_income_lt10k_pct,0.011016443456262603,0.12468203947241896,ADI
ACS,educ_doctorate_pct,0.010612073071816774,0.06639564851095156,ADI
ACS,occ_female_computer_engineering_science_pct,0.008351467611588493,0.06511762589119546,ADI
ACS,educ_grade3_pct,0.007149157846135168,0.0345953884201633,"ADI, SDI"
ACS,occ_male_service_pct,0.0039969621566818825,0.022224386813412062,ADI
ACS,educ_grade4_pct,-0.010059799749054821,0.026854371311280312,"ADI, SDI"
ACS,occ_male_sales_office_pct,-0.010184470837545567,0.033294712579914294,ADI
ACS,owner_occupied_no_vehicle_pct,-0.01831742142938997,0.21231689969173684,ADI
ACS,educ_grade5_pct,-0.019991881075831785,0.06697744104970971,"ADI, SDI"
ACS,educ_grade8_pct,-0.022539524610643437,0.11153228421142668,SDI
ACS,single_parent_male_hh_pct,-0.022885193636887548,0.008724931636799691,"SDI, SVI"
ACS,lep_indo_euro_native_not_well_pct,-0.02617741988597051,0.03451794393129375,SVI
ACS,educ_grade2_pct,-0.03159980054156706,0.026515731479278718,"ADI, SDI"
