group,variable,r2_mean,r2_std,indices
ACS,owner_occupied_pct,0.5712708631954592,0.03375948093538728,ADI
ACS,renter_occupied_pct,0.5704703867883432,0.0341362693467013,SDI
ACS,multi_unit_housing_pct,0.5527615233418236,0.05537806716497299,SVI
ACS,heating_fuel_utility_gas_pct,0.5489932217928875,0.012999564837639291,ADI
ACS,structures_20plus_units_pct,0.5353468325801154,0.05076388162108259,SVI
ACS,renter_occupied_no_vehicle_pct,0.4519035742463,0.12497380805352114,ADI
ACS,no_vehicle_b25044_pct,0.44064326645640833,0.15294502446093897,ADI
ACS,no_vehicle_pct,0.43993428737654644,0.1529625252673691,"ADI, SDI, SVI"
ACS,mobile_homes_pct,0.4138164422600532,0.05762864675023169,SVI
PLACES,CANCER,0.41374397037939625,0.08354895512109169,""
ACS,nh_white_pct,0.40462005677194457,0.07162040056976947,SVI
ACS,minority_pct,0.40462005663035666,0.07162040081188548,SVI
PLACES,HOUSINSECU,0.3577146257835934,0.019624024606180693,""
PLACES,FOODINSECU,0.3525110733233022,0.01780503772130412,""
PLACES,LACKTRPT,0.35119957559624543,0.0365893452648087,""
ACS,housing_cost_burdened_pct,0.34930032522855925,0.014798827761434465,SVI
PLACES,ARTHRITIS,0.33451762277238767,0.060453179888710684,""
PLACES,GHLTH,0.3185409376022026,0.017098828294342124,""
PLACES,INDEPLIVE,0.31670347844778934,0.03729847129112027,""
PLACES,LONELINESS,0.3126663077859186,0.07995943913022321,""
PLACES,FOODSTAMP,0.307688730909335,0.03131779847207062,""
PLACES,COGNITION,0.3072329410335558,0.0786595454201604,""
PLACES,CSMOKING,0.305556649859726,0.04455948868886912,""
ACS,educ_bachelors_pct,0.30459768482543476,0.038180251468782234,ADI
PLACES,VISION,0.30282117997590385,0.012166643239046315,""
PLACES,DISABILITY,0.30239701082009446,0.057021905274579884,""
ACS,per_capita_income,0.29291747611824076,0.05953253574541482,ADI
PLACES,LPA,0.2902444067344499,0.04647649946945967,""
PLACES,COPD,0.28988576320797516,0.018360548954870055,""
ACS,median_family_income,0.28732867729890355,0.05707858564130192,ADI
PLACES,SHUTUTILITY,0.2859052130448182,0.08832772693347035,""
ACS,educ_masters_pct,0.28215260548423216,0.04353200987778436,ADI
PLACES,OBESITY,0.2808027080862325,0.11777329599543673,""
PLACES,COLON_SCREEN,0.27662579411447175,0.07466459690249869,""
PLACES,SELFCARE,0.27339465380454053,0.012705852414882968,""
PLACES,HEARING,0.27196091959198465,0.0980950786567808,""
ACS,educ_hs_diploma_pct,0.27106198285271327,0.02993237027587945,ADI
PLACES,DENTAL,0.26982241468901574,0.05525414312589192,""
PLACES,MOBILITY,0.2693747004690425,0.02536324283779958,""
PLACES,PHLTH,0.2688796412692075,0.05496753402400827,""
PLACES,BPHIGH,0.2653718510162518,0.05037620485025216,""
PLACES,CHOLSCREEN,0.2584904098893455,0.0576772559128448,""
PLACES,TEETHLOST,0.257781182760627,0.07752742478937699,""
ACS,hh_income_ge200k_pct,0.25578832829693327,0.055952547244608096,ADI
PLACES,CHD,0.2557145292594489,0.07533400787910904,""
ACS,pov_below_related_children_pct,0.25536580933826397,0.046483809870338164,ADI
PLACES,MHLTH,0.24812061793344292,0.0848677723039163,""
ACS,structures_10_19_units_pct,0.24432680938201362,0.03624274789354745,SVI
ACS,pct_no_telephone,0.238203681138899,0.04793341874101412,ADI
PLACES,EMOTIONSPT,0.2372935915989443,0.0809150124061028,""
PLACES,SLEEP,0.23086682109624457,0.058550779791010935,""
ACS,pov_total_pct,0.2298168975798244,0.03618209830426806,ADI
ACS,median_gross_rent,0.22141610558268185,0.16797900616784903,ADI
ACS,cost_burdened_rent_30_34_pct,0.2212200006689839,0.047485081987382174,SVI
PLACES,STROKE,0.2199686054385772,0.03602710568626439,""
PLACES,ACCESS2,0.21604268075234404,0.035818607160194256,""
ACS,no_hs_diploma_pct,0.21520713589099136,0.047547394501417636,SVI
ACS,educ_lt12th_grade_pct,0.21484914134334657,0.05124693525724412,SDI
ACS,educ_hs_or_higher_pct,0.2148491406486631,0.05124693522388095,ADI
PLACES,DIABETES,0.20586295903221635,0.027994072747181985,""
ACS,educ_professional_degree_pct,0.20536177961247626,0.08264192003777743,ADI
ACS,incomplete_plumbing_pct,0.20311037544645777,0.030410777326263145,ADI
PLACES,HIGHCHOL,0.19876266361819225,0.09515563643591997,""
PLACES,BPMED,0.19456623280181057,0.11631854315085868,""
ACS,median_home_value,0.19306008101860747,0.2003878235101021,ADI
PLACES,MAMMOUSE,0.18464632681413468,0.050670954552757996,""
ACS,occ_female_mgmt_business_science_arts_pct,0.18057335195772245,0.03458605631446369,ADI
ACS,median_owner_cost_mortgage,0.17647558980517014,0.13763529084388093,ADI
ACS,pov_below_other_pct,0.17446103653469985,0.020409717619796756,ADI
ACS,age_65plus_pct,0.16157649683237055,0.033779663067284395,SVI
ACS,group_quarters_pct,0.15916963061802514,0.0541744476125531,SVI
ACS,cost_burdened_rent_35_39_pct,0.1539478963283994,0.023419250934458423,SVI
ACS,hh_income_lt10k_pct,0.15173352974493515,0.041445628193183766,ADI
ACS,uninsured_pct,0.13780950993883026,0.03278384264583541,SVI
ACS,lep_total_pct,0.1359437768330982,0.1115255101108499,SVI
ACS,pct_below_150pct_poverty,0.13465187688515315,0.013706757516117994,SVI
PLACES,CHECKUP,0.1330497010371277,0.11626137699564634,""
ACS,single_parent_female_hh_pct,0.12960986045424666,0.01491211055212981,"SDI, SVI"
ACS,disability_pct,0.12792012981298834,0.03864115306918668,SVI
ACS,white_collar_pct,0.12618312977895405,0.018084424990306013,ADI
ACS,single_parent_pct,0.12106994000654285,0.019783315130344894,"SDI, SVI"
ACS,age_lte17_pct,0.12050436523893164,0.05415107304364073,SVI
ACS,occ_female_business_financial_pct,0.12045883918157227,0.040217890664609984,ADI
ACS,educ_lt9th_grade_pct,0.12031688661340245,0.07761861914193782,ADI
ACS,pct_below_100pct_poverty,0.11958589780379933,0.01841824038812966,SDI
ACS,educ_grade11_pct,0.11372106794557753,0.015225456997181256,SDI
ACS,educ_ged_pct,0.10940400791115265,0.0380346816867247,ADI
ACS,educ_grade10_pct,0.09976577810469718,0.022911337933080086,SDI
ACS,educ_doctorate_pct,0.09868865642362042,0.035982054271782186,ADI
ACS,cost_burdened_rent_40_49_pct,0.09631271691661,0.009391114120484871,SVI
PLACES,BINGE,0.08753874940583192,0.044804461567835394,""
ACS,unemployment_pct,0.08402588751350097,0.01593886579696633,"ADI, SVI"
ACS,not_in_labor_force_pct,0.08402588751350097,0.01593886579696633,SDI
ACS,educ_some_college_lt1yr_pct,0.08040641956853103,0.02971090761460891,ADI
ACS,educ_grade9_pct,0.07958979125912391,0.024190990767878767,SDI
ACS,cost_burdened_rent_50plus_pct,0.0782534007941152,0.06414914714783078,SVI
ACS,lep_asian_pac_native_not_well_pct,0.07791908253369136,0.05764677967826212,SVI
