group,variable,r2_mean,r2_std,indices
ACS,renter_occupied_pct,0.6108695896924172,0.02176011466831189,SDI
ACS,owner_occupied_pct,0.6106450521454422,0.022204077133769765,ADI
ACS,multi_unit_housing_pct,0.6064511488825948,0.0592163128106371,SVI
ACS,structures_20plus_units_pct,0.5932308662704001,0.06518552556376181,SVI
ACS,heating_fuel_utility_gas_pct,0.5551027685419113,0.15059350262862367,ADI
ACS,renter_occupied_no_vehicle_pct,0.49699229533843725,0.12454006417628272,ADI
ACS,no_vehicle_pct,0.4951051263093661,0.12994501217637636,"ADI, SDI, SVI"
ACS,mobile_homes_pct,0.49450176740643936,0.04357047493680141,SVI
ACS,no_vehicle_b25044_pct,0.49428956757351566,0.13018998739041834,ADI
PLACES,CANCER,0.472131889622437,0.05997337568743037,""
ACS,nh_white_pct,0.47114847386603237,0.03972235202843683,SVI
ACS,minority_pct,0.4711484738183695,0.039722352034849466,SVI
PLACES,LACKTRPT,0.4699647604819742,0.06256282940858914,""
PLACES,FOODINSECU,0.4674476687308321,0.06004807418619151,""
PLACES,COGNITION,0.4631397852331826,0.05473897115958424,""
PLACES,HOUSINSECU,0.4532050019652357,0.07193811500524093,""
PLACES,CSMOKING,0.4530523854525388,0.03799980595956355,""
PLACES,DISABILITY,0.4482179533833415,0.06800717214872379,""
PLACES,INDEPLIVE,0.4419574096848723,0.06166967258851603,""
PLACES,SHUTUTILITY,0.4334102336839466,0.07442279808443929,""
ACS,per_capita_income,0.43131832093305256,0.06342792040590545,ADI
PLACES,LPA,0.42710414573350663,0.047035774961237495,""
ACS,median_family_income,0.4252931711353806,0.0885025032295968,ADI
PLACES,GHLTH,0.42360804001624075,0.04737918964909064,""
ACS,educ_bachelors_pct,0.41713405068687076,0.05020448824808635,ADI
PLACES,OBESITY,0.41687434174202276,0.038177674792636514,""
PLACES,COPD,0.4116973262471988,0.0436358096153299,""
PLACES,PHLTH,0.41027782171695854,0.06609732193492887,""
PLACES,ARTHRITIS,0.409285541532377,0.05820805797030711,""
PLACES,VISION,0.4070716607335977,0.03524429011702451,""
PLACES,TEETHLOST,0.4044733644916918,0.05874629572469454,""
PLACES,SELFCARE,0.4019349389475888,0.044150982645453474,""
ACS,hh_income_ge200k_pct,0.4003357017187114,0.11005958553977382,ADI
PLACES,MHLTH,0.4002305816887106,0.059944146784542816,""
ACS,educ_masters_pct,0.3943797089459404,0.03653888271854508,ADI
PLACES,MOBILITY,0.3943445098026004,0.06092809379745021,""
PLACES,DENTAL,0.39214324847319015,0.04549665452805665,""
PLACES,BPHIGH,0.3884544658268344,0.03334674554986887,""
PLACES,HEARING,0.38801457279740337,0.07177729803474157,""
PLACES,FOODSTAMP,0.38631107455947955,0.08692957829008917,""
PLACES,LONELINESS,0.37782263765515023,0.07909049216705727,""
ACS,housing_cost_burdened_pct,0.37604298872077013,0.051368992643252516,SVI
PLACES,CHOLSCREEN,0.3718778892817137,0.04993648409536358,""
PLACES,CHD,0.3663131731773104,0.06272466441079592,""
ACS,pov_below_related_children_pct,0.35826926751794447,0.05132534495912934,ADI
ACS,median_gross_rent,0.35663894961763964,0.1180876087015486,ADI
ACS,median_owner_cost_mortgage,0.35615473554166915,0.16048876031821466,ADI
ACS,educ_hs_diploma_pct,0.353060582911903,0.07111168909651097,ADI
PLACES,STROKE,0.3495483056850226,0.04129359957403761,""
PLACES,COLON_SCREEN,0.345569454057142,0.04814307607950105,""
PLACES,DIABETES,0.3353369176863913,0.04638812563170141,""
PLACES,EMOTIONSPT,0.33486617881537317,0.17283248736318174,""
PLACES,SLEEP,0.32870641041114784,0.08608063538008758,""
ACS,pov_total_pct,0.32855577526121066,0.0487008133957958,ADI
PLACES,BPMED,0.32707994914318606,0.0423204617991208,""
ACS,pct_no_telephone,0.31834993332950523,0.06118330546047251,ADI
PLACES,HIGHCHOL,0.30729084702922765,0.06564143706095614,""
ACS,educ_professional_degree_pct,0.3069204823926123,0.03923439530588007,ADI
ACS,cost_burdened_rent_30_34_pct,0.3040678497201766,0.06023864105766764,SVI
ACS,educ_lt12th_grade_pct,0.2954423384181827,0.04340706753080629,SDI
ACS,educ_hs_or_higher_pct,0.29544233830129274,0.04340706717434591,ADI
ACS,no_hs_diploma_pct,0.29354460315799996,0.038663728585570836,SVI
ACS,group_quarters_pct,0.29075103341286196,0.02258230753980025,SVI
ACS,structures_10_19_units_pct,0.27922131997064026,0.05180661695632361,SVI
ACS,median_home_value,0.2637282649389246,0.2519094163130058,ADI
ACS,pov_below_other_pct,0.2595731332904435,0.03183215035113414,ADI
PLACES,MAMMOUSE,0.2456248493889396,0.04350836237000668,""
ACS,occ_female_mgmt_business_science_arts_pct,0.24497800973237033,0.011447828622323563,ADI
ACS,age_65plus_pct,0.2345906827132927,0.03747040090025801,SVI
ACS,incomplete_plumbing_pct,0.23156411328650836,0.0566394456932297,ADI
PLACES,CHECKUP,0.21696069504360596,0.07272643825825287,""
ACS,disability_pct,0.21546251797759175,0.031310530227883784,SVI
PLACES,CASTHMA,0.20779151187040484,0.0829423180395202,""
ACS,hh_income_lt10k_pct,0.20425258186566492,0.04902152095585028,ADI
ACS,pct_below_150pct_poverty,0.20257925576950503,0.02780159015922848,SVI
