group,variable,r2_mean,r2_std,indices
ACS,owner_occupied_pct,0.5470475145297797,0.03090224053531216,ADI
ACS,renter_occupied_pct,0.5462190249806579,0.03130793395431047,SDI
ACS,multi_unit_housing_pct,0.5237666064188587,0.07772148406544,SVI
ACS,heating_fuel_utility_gas_pct,0.5167820549828017,0.13895618379567834,ADI
ACS,structures_20plus_units_pct,0.504782625150662,0.08381235538541323,SVI
ACS,renter_occupied_no_vehicle_pct,0.4498333673096404,0.14932165201412734,ADI
ACS,no_vehicle_pct,0.4383043107020648,0.1624201569237161,"ADI, SDI, SVI"
ACS,no_vehicle_b25044_pct,0.43781399730954274,0.16304636015057533,ADI
PLACES,CANCER,0.42048483492617417,0.05194928482432396,""
ACS,mobile_homes_pct,0.4185666886385849,0.055901259799288394,SVI
ACS,nh_white_pct,0.4019713143444644,0.035873324193195485,SVI
ACS,minority_pct,0.40197131431655314,0.035873324123704996,SVI
PLACES,FOODINSECU,0.36267472671095574,0.04502477534669916,""
PLACES,LACKTRPT,0.3606128966886769,0.05254100381217728,""
PLACES,HOUSINSECU,0.35978219346976914,0.05939927870397328,""
PLACES,ARTHRITIS,0.3393240948731526,0.05717786759733111,""
ACS,housing_cost_burdened_pct,0.33698936274247326,0.04068027010997449,SVI
PLACES,LONELINESS,0.315077073589111,0.07717439583112001,""
PLACES,LPA,0.3134843493551702,0.028492944675372396,""
PLACES,COGNITION,0.3123891165895709,0.0568266783938244,""
ACS,educ_bachelors_pct,0.31176804942561515,0.04564807450350791,ADI
ACS,per_capita_income,0.3053579490312835,0.05659229812501405,ADI
PLACES,HEARING,0.30443576232587705,0.07259739412669035,""
PLACES,DENTAL,0.30407583732260346,0.03510403455468195,""
PLACES,GHLTH,0.3029522663307163,0.04897244148345276,""
PLACES,INDEPLIVE,0.3021157685071706,0.039116662719948736,""
PLACES,DISABILITY,0.30172833817468064,0.06909844934416087,""
PLACES,CSMOKING,0.2995960954060135,0.04986043450545221,""
PLACES,SHUTUTILITY,0.29842003892919006,0.09086221046296149,""
PLACES,FOODSTAMP,0.29363616826636907,0.06460641251860526,""
PLACES,VISION,0.291342257345104,0.04438684239607081,""
ACS,median_family_income,0.28897273017280095,0.06611410810199238,ADI
ACS,educ_masters_pct,0.2858952008279281,0.034710955156270026,ADI
PLACES,COLON_SCREEN,0.28423330706525557,0.07550106962838313,""
PLACES,EMOTIONSPT,0.28330298998188275,0.14353874663145177,""
PLACES,OBESITY,0.2820911337162242,0.04509021035040611,""
PLACES,COPD,0.2802070976468011,0.03801456541991381,""
PLACES,TEETHLOST,0.2763988664087693,0.05916154840398859,""
PLACES,BPHIGH,0.27254869398574194,0.047945845275944754,""
PLACES,SELFCARE,0.2725386821541632,0.03240803932813713,""
PLACES,MHLTH,0.2680959823972418,0.049739317629540085,""
ACS,pov_below_related_children_pct,0.2656690545608658,0.045216401748970965,ADI
PLACES,PHLTH,0.2655731251721563,0.06805524484709444,""
PLACES,MOBILITY,0.2631263566243896,0.043766753010957525,""
PLACES,CHD,0.26174180058902125,0.06255166943143434,""
