group,variable,r2_mean,r2_std,indices
ACS,heating_fuel_utility_gas_pct,0.5209804400644135,0.09080647519411884,ADI
ACS,owner_occupied_pct,0.4919078587889635,0.05864246123392395,ADI
ACS,renter_occupied_pct,0.4907593645307814,0.0584428200063826,SDI
ACS,multi_unit_housing_pct,0.4255009194205922,0.06535683731748615,SVI
ACS,nh_white_pct,0.4213235467464461,0.029552249876994917,SVI
ACS,minority_pct,0.42132354672441014,0.02955224994266007,SVI
ACS,structures_20plus_units_pct,0.40368495215048095,0.08237245559679332,SVI
ACS,mobile_homes_pct,0.3813476363491183,0.09847112229368978,SVI
ACS,renter_occupied_no_vehicle_pct,0.3786244143914203,0.09679923431053124,ADI
ACS,no_vehicle_pct,0.37537798491500013,0.11033700229422866,"ADI, SDI, SVI"
ACS,no_vehicle_b25044_pct,0.3749007120753364,0.11378806474061501,ADI
PLACES,CANCER,0.3245636936216643,0.11772478227691249,""
PLACES,EMOTIONSPT,0.3203389109552514,0.03307989096214577,""
ACS,housing_cost_burdened_pct,0.30373647602304865,0.05584073359236457,SVI
PLACES,ARTHRITIS,0.2811132576260043,0.0797860765875515,""
PLACES,LONELINESS,0.2631178015473125,0.07294929742661467,""
PLACES,OBESITY,0.26064373041309363,0.12294544697364916,""
ACS,median_gross_rent,0.2576494215530006,0.08183685013651243,ADI
PLACES,HEARING,0.25460414868789377,0.095367339512705,""
ACS,educ_bachelors_pct,0.2472565330422599,0.05601533225615395,ADI
PLACES,LPA,0.24341650852381208,0.08115016101991039,""
PLACES,HOUSINSECU,0.24117952417499602,0.21691141402122904,""
PLACES,GHLTH,0.2409209083336675,0.09257886288390091,""
PLACES,CSMOKING,0.24040542080996358,0.05899891684627064,""
PLACES,FOODINSECU,0.23945936868474882,0.19956542334732597,""
ACS,educ_hs_diploma_pct,0.23823733704502584,0.04445342571627122,ADI
PLACES,DISABILITY,0.23810293933581997,0.07284324577473907,""
ACS,median_family_income,0.23372431395724114,0.12731068284251626,ADI
PLACES,COGNITION,0.23364273516399137,0.04009841070419056,""
ACS,pct_no_telephone,0.23144587047907716,0.03199952806392235,ADI
ACS,per_capita_income,0.22824379042601378,0.09451414511330687,ADI
PLACES,INDEPLIVE,0.2261644475842476,0.07599477049137238,""
PLACES,BPHIGH,0.225845528020713,0.08154026724639743,""
ACS,educ_masters_pct,0.22408165715495287,0.054695936946886556,ADI
PLACES,LACKTRPT,0.21677066438577403,0.20214320480754108,""
PLACES,DENTAL,0.21672779810419449,0.1011206517332982,""
ACS,pov_below_related_children_pct,0.21644115539134656,0.05038541485540797,ADI
ACS,median_owner_cost_mortgage,0.21582061678041073,0.10887419140212867,ADI
ACS,hh_income_ge200k_pct,0.2140909027505936,0.08427027836632955,ADI
PLACES,MOBILITY,0.2123930662009464,0.07663509439964171,""
PLACES,COPD,0.2120408073577503,0.049453239380263525,""
PLACES,PHLTH,0.20849438032393164,0.08140836722388628,""
PLACES,CHOLSCREEN,0.20652752411004643,0.0538964683720262,""
PLACES,SLEEP,0.20425757767424138,0.1010747475209713,""
PLACES,HIGHCHOL,0.20020486109449473,0.1210830385538152,""
PLACES,TEETHLOST,0.19829581750167566,0.06747115586526167,""
ACS,pov_total_pct,0.19282208752550667,0.054867716615661005,ADI
PLACES,COLON_SCREEN,0.18995377373004824,0.04174808215384547,""
PLACES,VISION,0.18711654688877735,0.14243416939556197,""
PLACES,SELFCARE,0.1855034545008551,0.11137756209000126,""
PLACES,CHD,0.1853416909420053,0.08862403074289689,""
PLACES,DIABETES,0.1843387728247823,0.10863499336710579,""
ACS,structures_10_19_units_pct,0.18196259042116,0.04218929467400392,SVI
ACS,cost_burdened_rent_30_34_pct,0.1813441580393342,0.04128311664089477,SVI
PLACES,MHLTH,0.17975200057767776,0.04504901643862342,""
ACS,educ_hs_or_higher_pct,0.17520644643764766,0.04707712005581897,ADI
ACS,educ_lt12th_grade_pct,0.17520644632506624,0.04707712043838871,SDI
ACS,no_hs_diploma_pct,0.1749581812646974,0.04826892309707331,SVI
ACS,incomplete_plumbing_pct,0.17249816841993817,0.05952892040968744,ADI
PLACES,BPMED,0.16945044070630927,0.10443652846828352,""
