group,variable,r2_mean,r2_std,indices
ACS,heating_fuel_utility_gas_pct,0.47752745371620514,0.09817380352078914,ADI
ACS,owner_occupied_pct,0.42025142968114293,0.05887924094933541,ADI
ACS,renter_occupied_pct,0.42015280029535307,0.059696768562338104,SDI
ACS,nh_white_pct,0.3654346378025264,0.047802598510954496,SVI
ACS,minority_pct,0.3654346377145872,0.047802598555313894,SVI
ACS,mobile_homes_pct,0.36148190093201904,0.10115430344041476,SVI
ACS,multi_unit_housing_pct,0.3553629202463339,0.05001927664799562,SVI
ACS,structures_20plus_units_pct,0.3422382511271814,0.05744884281553737,SVI
ACS,renter_occupied_no_vehicle_pct,0.32947981626579725,0.10718254999397892,ADI
ACS,no_vehicle_pct,0.3293341460311988,0.12268647206278573,"ADI, SDI, SVI"
ACS,no_vehicle_b25044_pct,0.32901434384984113,0.1208598890009226,ADI
PLACES,CANCER,0.2892324558869082,0.11066100131172872,""
PLACES,EMOTIONSPT,0.2712483584248422,0.02714745507888351,""
ACS,housing_cost_burdened_pct,0.2592772770676906,0.04956400267539914,SVI
PLACES,ARTHRITIS,0.24992224551020295,0.06482512034486974,""
PLACES,HOUSINSECU,0.22470074240800955,0.12657271240866041,""
PLACES,FOODINSECU,0.21081428612827127,0.12497083852980173,""
PLACES,HEARING,0.20579089527477282,0.09606662386227507,""
PLACES,LONELINESS,0.20508257542906608,0.0627733900262472,""
ACS,educ_hs_diploma_pct,0.1937278484558148,0.037020287058311216,ADI
PLACES,BPHIGH,0.19160968911864512,0.03830401822264784,""
ACS,median_gross_rent,0.19153342298297865,0.054234526203494525,ADI
ACS,pct_no_telephone,0.1857716352802872,0.024282543137768123,ADI
PLACES,OBESITY,0.18549850601073917,0.10907613426959548,""
PLACES,LACKTRPT,0.1848478382669578,0.12921214150827776,""
PLACES,GHLTH,0.18433461338486018,0.06395284299231656,""
ACS,educ_bachelors_pct,0.17795743050747342,0.03135988488551069,ADI
PLACES,CSMOKING,0.17264975883447603,0.057112627008866046,""
PLACES,DISABILITY,0.172480812059373,0.05166511546233197,""
PLACES,LPA,0.1698565735001564,0.06272689771615081,""
ACS,median_owner_cost_mortgage,0.1676925629217892,0.06814350602848741,ADI
PLACES,COGNITION,0.16617877928124866,0.0439156050865763,""
ACS,educ_masters_pct,0.1657167974412195,0.03614708270971283,ADI
PLACES,COLON_SCREEN,0.1651260108352252,0.035808441204300906,""
PLACES,COPD,0.16243214125883787,0.04159743220981151,""
ACS,median_family_income,0.15992261975905367,0.10383325436942564,ADI
PLACES,HIGHCHOL,0.15698164847504964,0.13588203286878855,""
PLACES,INDEPLIVE,0.15687280158111777,0.05657208060403187,""
ACS,pov_below_related_children_pct,0.15666788052474723,0.028786867499125124,ADI
PLACES,MOBILITY,0.15416682178241295,0.04729714902062338,""
PLACES,SLEEP,0.15320040819226405,0.08962623993540103,""
