embedding_model,outcome,outcome_label,predictor_type,r2,n_train,n_test
AlphaEarth Foundations,ACCESS2,Lack of health insurance,ReADI,0.5576,55348,21979
AlphaEarth Foundations,ACCESS2,Lack of health insurance,SVI,0.1631,55348,21979
AlphaEarth Foundations,ACCESS2,Lack of health insurance,SDI,0.423,55348,21979
AlphaEarth Foundations,ACCESS2,Lack of health insurance,All indices,0.5773,55348,21979
AlphaEarth Foundations,ACCESS2,Lack of health insurance,Embeddings,0.2796,55348,21979
AlphaEarth Foundations,ACCESS2,Lack of health insurance,All indices + Embeddings,0.7154,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,ReADI,0.0419,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,SVI,0.112,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,SDI,-0.0358,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,All indices,0.5702,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,Embeddings,0.2787,55348,21979
AlphaEarth Foundations,ARTHRITIS,Arthritis,All indices + Embeddings,0.5709,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,ReADI,0.1262,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,SVI,0.0857,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,SDI,0.0367,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,All indices,0.2932,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,Embeddings,0.0118,55348,21979
AlphaEarth Foundations,BINGE,Binge drinking,All indices + Embeddings,0.2135,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,ReADI,0.1708,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,SVI,-0.1262,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,SDI,-0.183,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,All indices,0.5434,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,Embeddings,0.3532,55348,21979
AlphaEarth Foundations,BPHIGH,High blood pressure,All indices + Embeddings,0.6327,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,ReADI,-0.1291,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,SVI,-0.0227,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,SDI,-0.0313,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,All indices,0.2807,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,Embeddings,0.3455,55348,21979
AlphaEarth Foundations,BPMED,BP medication use,All indices + Embeddings,0.4883,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),ReADI,0.0617,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),SVI,0.3567,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),SDI,0.3225,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),All indices,0.4958,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),Embeddings,0.3134,55348,21979
AlphaEarth Foundations,CANCER,Cancer (excl. skin),All indices + Embeddings,0.4508,55348,21979
AlphaEarth Foundations,CASTHMA,Current asthma,ReADI,0.267,55348,21979
AlphaEarth Foundations,CASTHMA,Current asthma,SVI,0.0299,55348,21979
AlphaEarth Foundations,CASTHMA,Current asthma,SDI,0.0546,55348,21979
AlphaEarth Foundations,CASTHMA,Current asthma,All indices,0.4638,55348,21979
