embedding_model,decile,median_tract_area_km2,tract_area_label,r2_readi,r2_svi,r2_sdi,r2_emb,n_tracts
AlphaEarth Foundations,1,0.4061,41 ha,0.54,0.2283,0.3343,0.4162,8204
AlphaEarth Foundations,2,1.118,1.1 km2,0.5018,0.2007,0.3735,0.3758,8203
AlphaEarth Foundations,3,1.7378,1.7 km2,0.5174,0.2027,0.3966,0.3739,8203
AlphaEarth Foundations,4,2.5496,2.5 km2,0.5264,0.2189,0.4142,0.3749,8204
AlphaEarth Foundations,5,3.6611,3.7 km2,0.5229,0.2148,0.4053,0.3653,8203
AlphaEarth Foundations,6,5.8248,5.8 km2,0.5254,0.237,0.414,0.356,8203
AlphaEarth Foundations,7,11.3954,11 km2,0.5117,0.2562,0.3989,0.358,8204
AlphaEarth Foundations,8,29.5805,30 km2,0.507,0.257,0.3825,0.3731,8203
AlphaEarth Foundations,9,94.7227,95 km2,0.4877,0.2622,0.3581,0.405,8203
AlphaEarth Foundations,10,359.8724,360 km2,0.4921,0.2328,0.3763,0.4675,8204
Clay-v1.5,1,0.3861,39 ha,0.5436,0.2297,0.3331,0.384,7686
Clay-v1.5,2,1.0944,1.1 km2,0.5003,0.1931,0.3725,0.3577,7685
Clay-v1.5,3,1.729,1.7 km2,0.5178,0.1985,0.3946,0.3736,7685
Clay-v1.5,4,2.5548,2.6 km2,0.526,0.2106,0.4082,0.3825,7686
Clay-v1.5,5,3.6942,3.7 km2,0.5244,0.2094,0.3989,0.3798,7685
Clay-v1.5,6,5.916,5.9 km2,0.5227,0.2329,0.4087,0.3837,7685
Clay-v1.5,7,11.6277,12 km2,0.5113,0.2434,0.3931,0.3579,7686
Clay-v1.5,8,30.4539,30 km2,0.5056,0.2426,0.3737,0.3286,7685
Clay-v1.5,9,97.1839,97 km2,0.488,0.2544,0.3513,0.3368,7685
Clay-v1.5,10,364.8551,360 km2,0.4955,0.2291,0.3775,0.3939,7686
OlmoEarth-1.2 Base,1,0.4041,40 ha,0.542,0.2277,0.3338,0.4347,8078
OlmoEarth-1.2 Base,2,1.1186,1.1 km2,0.504,0.1955,0.3679,0.4481,8078
OlmoEarth-1.2 Base,3,1.7399,1.7 km2,0.5201,0.2032,0.3986,0.4695,8077
OlmoEarth-1.2 Base,4,2.5552,2.6 km2,0.5259,0.2189,0.411,0.4772,8078
OlmoEarth-1.2 Base,5,3.6807,3.7 km2,0.5249,0.2142,0.4085,0.4843,8078
OlmoEarth-1.2 Base,6,5.8643,5.9 km2,0.5243,0.239,0.4125,0.4875,8077
OlmoEarth-1.2 Base,7,11.5341,12 km2,0.5104,0.2537,0.3967,0.4713,8078
OlmoEarth-1.2 Base,8,30.1085,30 km2,0.5032,0.2547,0.3769,0.4273,8077
OlmoEarth-1.2 Base,9,96.2617,96 km2,0.4908,0.2583,0.3617,0.3919,8078
OlmoEarth-1.2 Base,10,363.0909,360 km2,0.4925,0.2312,0.3786,0.4178,8078
OlmoEarth-1.2 Nano,1,0.4041,40 ha,0.542,0.2277,0.3338,0.325,8078
OlmoEarth-1.2 Nano,2,1.1186,1.1 km2,0.504,0.1955,0.3679,0.3328,8078
OlmoEarth-1.2 Nano,3,1.7399,1.7 km2,0.5201,0.2032,0.3986,0.3392,8077
OlmoEarth-1.2 Nano,4,2.5552,2.6 km2,0.5259,0.2189,0.411,0.3511,8078
OlmoEarth-1.2 Nano,5,3.6807,3.7 km2,0.5249,0.2142,0.4085,0.3599,8078
OlmoEarth-1.2 Nano,6,5.8643,5.9 km2,0.5243,0.239,0.4125,0.3554,8077
OlmoEarth-1.2 Nano,7,11.5341,12 km2,0.5104,0.2537,0.3967,0.3219,8078
OlmoEarth-1.2 Nano,8,30.1085,30 km2,0.5032,0.2547,0.3769,0.2981,8077
OlmoEarth-1.2 Nano,9,96.2617,96 km2,0.4908,0.2583,0.3617,0.307,8078
OlmoEarth-1.2 Nano,10,363.0909,360 km2,0.4925,0.2312,0.3786,0.3592,8078
Prithvi-EO-2.0 300M-TL,1,0.5184,52 ha,0.5325,0.1982,0.3331,0.1898,7507
Prithvi-EO-2.0 300M-TL,2,1.2782,1.3 km2,0.5083,0.1983,0.372,0.2005,7506
Prithvi-EO-2.0 300M-TL,3,1.9647,2.0 km2,0.5284,0.199,0.4005,0.2278,7506
Prithvi-EO-2.0 300M-TL,4,2.7709,2.8 km2,0.5264,0.2217,0.4114,0.236,7506
Prithvi-EO-2.0 300M-TL,5,4.1509,4.2 km2,0.533,0.2203,0.4103,0.2596,7506
Prithvi-EO-2.0 300M-TL,6,6.7653,6.8 km2,0.5247,0.2352,0.4049,0.2647,7506
Prithvi-EO-2.0 300M-TL,7,13.6331,14 km2,0.5141,0.246,0.3964,0.2747,7506
Prithvi-EO-2.0 300M-TL,8,35.267,35 km2,0.5034,0.2488,0.3697,0.291,7506
Prithvi-EO-2.0 300M-TL,9,106.8574,110 km2,0.4897,0.2467,0.3526,0.3247,7506
Prithvi-EO-2.0 300M-TL,10,373.0566,370 km2,0.4984,0.2288,0.3795,0.3858,7507
Prithvi-EO-2.0 Tiny-TL,1,0.5184,52 ha,0.5325,0.1982,0.3331,0.1172,7507
Prithvi-EO-2.0 Tiny-TL,2,1.2782,1.3 km2,0.5083,0.1983,0.372,0.1472,7506
Prithvi-EO-2.0 Tiny-TL,3,1.9647,2.0 km2,0.5284,0.199,0.4005,0.1706,7506
Prithvi-EO-2.0 Tiny-TL,4,2.7709,2.8 km2,0.5264,0.2217,0.4114,0.1776,7506
Prithvi-EO-2.0 Tiny-TL,5,4.1509,4.2 km2,0.533,0.2203,0.4103,0.195,7506
Prithvi-EO-2.0 Tiny-TL,6,6.7653,6.8 km2,0.5247,0.2352,0.4049,0.1967,7506
Prithvi-EO-2.0 Tiny-TL,7,13.6331,14 km2,0.5141,0.246,0.3964,0.196,7506
Prithvi-EO-2.0 Tiny-TL,8,35.267,35 km2,0.5034,0.2488,0.3697,0.2031,7506
Prithvi-EO-2.0 Tiny-TL,9,106.8574,110 km2,0.4897,0.2467,0.3526,0.2596,7506
Prithvi-EO-2.0 Tiny-TL,10,373.0566,370 km2,0.4984,0.2288,0.3795,0.3315,7507
