embedding_model,state,r2_readi,r2_svi,r2_sdi,r2_emb,n_outcomes,n_tracts
AlphaEarth Foundations,AL,0.5742,0.2797,0.4135,0.3389,40,1430
AlphaEarth Foundations,AR,0.5262,0.2241,0.3416,0.3457,40,821
AlphaEarth Foundations,AZ,0.492,0.3237,0.3679,0.4372,40,1740
AlphaEarth Foundations,CA,0.5521,0.343,0.4272,0.4445,40,9068
AlphaEarth Foundations,CO,0.4292,0.2211,0.2308,0.4171,33,1437
AlphaEarth Foundations,DC,0.5639,0.3061,0.36,0.3937,40,206
AlphaEarth Foundations,DE,0.433,0.1668,0.3564,0.4003,40,257
AlphaEarth Foundations,FL,0.4288,0.2033,0.2984,0.3909,33,5077
AlphaEarth Foundations,GA,0.5478,0.239,0.38,0.444,40,2784
AlphaEarth Foundations,IA,0.525,0.1776,0.3384,0.2462,40,894
AlphaEarth Foundations,ID,0.4203,0.2048,0.2626,0.3046,40,455
AlphaEarth Foundations,IL,0.5665,0.2368,0.3856,0.496,40,3258
AlphaEarth Foundations,IN,0.5509,0.254,0.4172,0.3722,40,1685
AlphaEarth Foundations,KS,0.5498,0.3345,0.4106,0.4154,40,816
AlphaEarth Foundations,KY,0.7132,0.3033,0.5218,0.3798,5,1299
AlphaEarth Foundations,LA,0.6018,0.2891,0.4129,0.283,40,1366
AlphaEarth Foundations,MA,0.5585,0.3166,0.3812,0.4272,40,1597
AlphaEarth Foundations,MD,0.5178,0.1483,0.3752,0.4217,40,1458
AlphaEarth Foundations,ME,0.4497,0.2253,0.2457,0.4047,40,400
AlphaEarth Foundations,MI,0.5903,0.2938,0.4692,0.4605,40,2903
AlphaEarth Foundations,MN,0.4908,0.2552,0.3381,0.3493,40,1500
AlphaEarth Foundations,MO,0.5454,0.2784,0.3717,0.3893,40,1648
AlphaEarth Foundations,MS,0.5841,0.2384,0.3989,0.2438,40,870
AlphaEarth Foundations,MT,0.4015,0.2877,0.2169,0.2487,40,317
AlphaEarth Foundations,NC,0.5556,0.2723,0.3889,0.3829,40,2647
AlphaEarth Foundations,ND,0.3013,0.1555,0.2042,0.2202,40,228
AlphaEarth Foundations,NE,0.5105,0.2941,0.383,0.3224,40,552
AlphaEarth Foundations,NH,0.3765,0.1655,0.2032,0.2443,40,347
AlphaEarth Foundations,NJ,0.5549,0.3109,0.4577,0.4567,40,2169
AlphaEarth Foundations,NM,0.5377,0.2435,0.3357,0.3157,40,602
