concept,AlphaEarth Foundations,Prithvi-EO-2.0 Tiny-TL,Prithvi-EO-2.0 300M-TL,OlmoEarth-1.2 Nano,OlmoEarth-1.2 Base,Clay-v1.5,Mean R² (range across 6 models),ADI,SDI,SVI
Percent households that are renter-occupied,0.438 (0.080),0.420 (0.060),0.491 (0.058),0.546 (0.031),0.611 (0.022),0.570 (0.034),0.513 (0.420–0.611),FALSE,TRUE,FALSE
Percent owner-occupied housing units,0.435 (0.081),0.420 (0.059),0.492 (0.059),0.547 (0.031),0.611 (0.022),0.571 (0.034),0.513 (0.420–0.611),TRUE,FALSE,FALSE
"Housing type: % in multi-unit structures, mobile homes, group quarters",0.436 (0.063),0.355 (0.050),0.426 (0.065),0.524 (0.078),0.606 (0.059),0.553 (0.055),0.483 (0.355–0.606),FALSE,FALSE,TRUE
Minority status: % minority race/ethnicity,0.386 (0.071),0.365 (0.048),0.421 (0.030),0.402 (0.036),0.471 (0.040),0.405 (0.072),0.408 (0.365–0.471),FALSE,FALSE,TRUE
Median monthly owner costs (mortgage),0.299 (0.175),0.168 (0.068),0.216 (0.109),0.214 (0.206),0.356 (0.160),0.176 (0.138),0.238 (0.168–0.356),TRUE,FALSE,FALSE
Median gross rent,0.257 (0.109),0.192 (0.054),0.258 (0.082),0.232 (0.150),0.357 (0.118),0.221 (0.168),0.253 (0.192–0.357),TRUE,FALSE,FALSE
Median family income,0.218 (0.108),0.160 (0.104),0.234 (0.127),0.289 (0.066),0.425 (0.089),0.287 (0.057),0.269 (0.160–0.425),TRUE,FALSE,FALSE
Per capita income,0.065 (0.354),0.151 (0.064),0.228 (0.095),0.305 (0.057),0.431 (0.063),0.293 (0.060),0.246 (0.065–0.431),TRUE,FALSE,FALSE
Percent households without a motor vehicle,0.340 (0.238),0.329 (0.123),0.375 (0.110),0.438 (0.162),0.495 (0.130),0.440 (0.153),0.403 (0.329–0.495),TRUE,TRUE,TRUE
Median home value (owner-occupied),0.293 (0.129),0.086 (0.099),0.158 (0.118),0.090 (0.317),0.264 (0.252),0.193 (0.200),0.180 (0.086–0.293),TRUE,FALSE,FALSE
Percent with less than high school diploma / no HS degree,0.185 (0.041),0.128 (0.033),0.175 (0.048),0.229 (0.041),0.294 (0.039),0.215 (0.048),0.204 (0.128–0.294),FALSE,FALSE,TRUE
Percent households without a telephone,0.153 (0.057),0.186 (0.024),0.231 (0.032),0.240 (0.048),0.318 (0.061),0.238 (0.048),0.228 (0.153–0.318),TRUE,FALSE,FALSE
Percent households without complete plumbing,0.056 (0.235),0.147 (0.053),0.172 (0.060),0.141 (0.095),0.232 (0.057),0.203 (0.030),0.159 (0.056–0.232),TRUE,FALSE,FALSE
Percent of families/people below poverty level,0.140 (0.094),0.142 (0.031),0.193 (0.055),0.241 (0.035),0.329 (0.049),0.230 (0.036),0.212 (0.140–0.329),TRUE,FALSE,FALSE
English language proficiency: % speaks English “less than very well”,0.171 (0.093),0.139 (0.082),0.153 (0.066),0.166 (0.088),0.192 (0.116),0.136 (0.112),0.159 (0.136–0.192),FALSE,FALSE,TRUE
Percent below 150% of poverty level,0.106 (0.022),0.073 (0.008),0.117 (0.013),0.134 (0.028),0.203 (0.028),0.135 (0.014),0.128 (0.073–0.203),FALSE,FALSE,TRUE
Percent with <9 years of education,0.142 (0.079),0.070 (0.047),0.085 (0.036),0.125 (0.041),0.166 (0.079),0.120 (0.078),0.118 (0.070–0.166),TRUE,FALSE,FALSE
Percent households with more than 1 person per room (crowding),0.100 (0.061),0.063 (0.101),0.080 (0.079),0.097 (0.092),0.124 (0.063),0.067 (0.121),0.089 (0.063–0.124),FALSE,TRUE,TRUE
Percent single-parent households with children,0.100 (0.025),0.084 (0.019),0.107 (0.024),0.118 (0.039),0.153 (0.034),0.121 (0.020),0.114 (0.084–0.153),FALSE,TRUE,TRUE
Age structure: % aged ≥65,0.095 (0.095),0.102 (0.048),0.121 (0.048),0.180 (0.038),0.235 (0.037),0.162 (0.034),0.149 (0.095–0.235),FALSE,FALSE,TRUE
"Percent in white-collar occupations (management, business, science, arts, sales, office)",0.093 (0.016),0.084 (0.019),0.099 (0.020),0.119 (0.015),0.157 (0.012),0.126 (0.018),0.113 (0.084–0.157),TRUE,FALSE,FALSE
Age structure: % aged ≤17,0.032 (0.067),0.056 (0.018),0.093 (0.027),0.125 (0.090),0.154 (0.072),0.121 (0.054),0.097 (0.032–0.154),FALSE,FALSE,TRUE
Percent with disability (age ≥5 with disability),0.082 (0.132),0.083 (0.025),0.119 (0.049),0.138 (0.030),0.215 (0.031),0.128 (0.039),0.127 (0.082–0.215),FALSE,FALSE,TRUE
Percent unemployed (civilian labor force ≥16),0.016 (0.087),0.046 (0.035),0.048 (0.044),0.070 (0.037),0.094 (0.048),0.084 (0.016),0.060 (0.016–0.094),TRUE,FALSE,TRUE
Income disparity (ratio of <$10k to ≥$50k households),-0.162 (0.149),-0.027 (0.053),-0.025 (0.063),0.007 (0.011),0.033 (0.024),0.003 (0.022),-0.028 (-0.162–0.033),TRUE,FALSE,FALSE
